appstream-util	devpkg-appstream-glib
appstreamcli	pidgin
apr-1-config	devpkg-apr
apropos	man-pages
apu-1-config	devpkg-apr-util
apxs	application-server
ar	binutils
arandr	arandr
arcconf_lsmplugin	sysadmin-remote
arecord	alsa-utils
arecordmidi	alsa-utils
argon2	devpkg-argon2
aria2c	aria2
aria_chk	mariadb
aria_dump_log	mariadb
aria_ftdump	mariadb
aria_pack	mariadb
aria_read_log	mariadb
aria_s3_copy	mariadb
ark	ark
arlatex	texlive
arp	net-tools
arp-fingerprint	network-security-monitoring
arp-scan	network-security-monitoring
arpaname	network-basic
arping	network-basic
arptables	iptables
arptables-nft	iptables
arptables-nft-restore	iptables
arptables-nft-save	iptables
arptables-restore	iptables
arptables-save	iptables
artikulate	artikulate
artikulate_editor	artikulate
as	binutils
as10k1	alsa-tools
asapcat	akonadi
asc2log	automotive-tools
ascii-xfr	minicom
asciidoc	dev-utils
asciinema	productivity
aseqdump	alsa-utils
aseqnet	alsa-utils
aserver	thunderbird
asn1Coding	devpkg-libtasn1
asn1Decoding	devpkg-libtasn1
asn1Parser	devpkg-libtasn1
aspell	aspell
aspell-import	aspell
assimp	devpkg-assimp
assistant	qt-basic
asunder	asunder
asv	python-data-science
at	os-cloudguest-azure
atd	os-cloudguest-azure
atest	amateur-radio
atq	os-cloudguest-azure
atrm	os-cloudguest-azure
atrun	os-cloudguest-azure
attr	devpkg-attr
audacious	audacious
audisp-json	audit
audisp-remote	audit
audisp-syslog	audit
audispd-zos-remote	audit
auditctl	audit
auditd	audit
audtool	audacious
augenrules	audit
aulast	audit
aulastlog	audit
aureport	audit
ausearch	audit
ausyscall	audit
authconfig	enterprise-login
authorindex	texlive
authvar	os-clr-on-clr
autoconf	c-basic
autoconf213	c-basic-legacy
autoexpect	tcl-basic
autogen	c-basic
autoheader	c-basic
autoheader213	c-basic-legacy
autoinst	texlive
autom4te	c-basic
automake	c-basic
automake-1.16	c-basic
automount	storage-utils
autoopts-config	c-basic
autopasswd	tcl-basic
autopoint	c-basic
autoreconf	c-basic
autoreconf213	c-basic-legacy
autoscan	c-basic
autoscan213	c-basic-legacy
autosp	texlive
autossh	sysadmin-basic
autoupdate	c-basic
autoupdate213	c-basic-legacy
autrace	audit
auvirt	audit
av1encode	libva-utils
avahi-autoipd	devpkg-avahi
avahi-browse	devpkg-avahi
avahi-browse-domains	devpkg-avahi
avahi-daemon	avahi-daemon
avahi-dnsconfd	devpkg-avahi
avahi-publish	devpkg-avahi
avahi-publish-address	devpkg-avahi
avahi-publish-service	devpkg-avahi
avahi-resolve	devpkg-avahi
avahi-resolve-address	devpkg-avahi
avahi-resolve-host-name	devpkg-avahi
avahi-set-host-name	devpkg-avahi
avcenc	libva-utils
avcstreamoutdemo	libva-utils
awk	os-core
aws	cloud-api
aws.cmd	cloud-api
aws_bash_completer	cloud-api
aws_completer	cloud-api
aws_zsh_completer.sh	cloud-api
axel	axel
axohelp	texlive
b2sum	os-core
b4	pypi-b4
babeltrace	devpkg-compat-babeltrace-one
babeltrace-log	devpkg-compat-babeltrace-one
babeltrace2	devpkg-babeltrace
babl	devpkg-babl
backend-test-tools	pypi-onnx
badblocks	os-cloudguest-equinix
baloo_file	devpkg-baloo
baloo_file_extractor	devpkg-baloo
baloo_filemetadata_temp_extractor	desktop-kde
balooctl	devpkg-baloo
baloosearch	devpkg-baloo
balooshow	devpkg-baloo
baobab	baobab
base32	os-core
base64	os-core
basename	os-core
basenc	os-core
basepods	perl-extras
bash	os-core
bashbug	shells
bashdb	sysadmin-basic
batch	os-cloudguest-azure
bats	software-testing
bbl2bib	texlive
bbox	texlive
bc	bc
bcache-super-show	bcache-tools
bcc-lua	bcc
bcftools	samtools
bcmserver	automotive-tools
bcomps	graphviz
bdf2gdfont.pl	perl-extras
bdftogd	devpkg-libgd
bdftopcf	qt-basic-dev
bdftruncate	devpkg-font-util
beid-update-nssdb	eid-mw
bg5+latex	texlive
bg5+pdflatex	texlive
bg5conv	texlive
bg5latex	texlive
bg5pdflatex	texlive
bgp_btoa	quagga
bgpd	quagga
bib2gls	texlive
bibdoiadd	texlive
bibexport	texlive
bibmradd	texlive
bibtex	texlive
bibtex8	texlive
bibtexu	texlive
biburl2doi	texlive
bibzbladd	texlive
bin2hex.py	python-extras
biosdecode	sysadmin-basic
bison	bison
black	python-extras
blackd	python-extras
blast2sam.pl	samtools
blinken	education-preschool
blivet-gui	blivet-gui
blivet-gui-daemon	blivet-gui
blkdeactivate	boot-encrypted
blkdiscard	os-core
blkid	os-core
blkiomon	performance-tools
blkmapd	nfs-utils
blkparse	performance-tools
blkpr	os-core
blkrawverify	performance-tools
